imu.roll,imu.pitchrate,imu.heel,ap.mode,ap.wind_angle,imu.headingrate,ap.true_wind_angle,imu.pitch,imu.rollrate,rudder.angle,wind.speed,ap.true_wind_speed,ap.heading_error,ap.heading,gps.speed,timestamp,ap.enabled,ap.vmg,ap.cmg,sow.speed,imu.accel_X,imu.accel_Y,imu.accel_Z,rudder.speed,imu.heading,gps.track,perf.quality_flag,perf.boat_config.Main,perf.boat_config.jib,perf.boat_config.spi,perf.boat_config.weight
-1.538,0.112,-1.492,compass,-51.748,0.112,-40.434,-0.86,0.112,-10.2,2.229,2.383596745660484,-52.964,346.544,0.031,23758.549,False,0.023656112703089996,0.018734277391937476,0.4,-0.051,-0.277,-9.875,0.019,346.544,169.078,True,0,1,0,0
-1.529,-0.112,-1.493,compass,-55.076,0.112,-41.487,-0.88,0.224,-10.24,2.229,2.3702456497972815,-53.0,346.508,0.043,23758.649,False,0.032003110854568376,0.025738196788638652,0.4,-0.051,-0.277,-9.875,0.004,346.508,169.078,True,0,1,0,0
-1.52,0.224,-1.494,compass,-51.507,-0.0,-42.581,-0.892,0.224,-10.24,2.229,2.383661275850427,-53.022,346.486,0.043,23758.749,False,0.0314545712450599,0.025725099406717123,0.4,-0.051,-0.277,-9.875,0.004,346.486,169.078,True,0,1,0,0
-1.505,0.112,-1.494,compass,-50.828,-0.112,-43.532,-0.897,0.0,-10.24,2.289,2.3810256848687756,-53.043,346.465,0.062,23758.849,False,0.045045797340236,0.037400007139232354,0.4,-0.012,-0.277,-9.918,0.004,346.465,169.078,True,0,1,0,0
-1.489,0.112,-1.494,compass,-51.753,-0.0,-44.458,-0.909,0.112,-10.22,2.289,2.389263642340186,-53.1,346.408,0.062,23758.949,False,0.04432495456149479,0.03735072473626502,0.4,-0.012,-0.277,-9.879,0.01,346.408,169.078,True,0,1,0,0
-1.476,0.112,-1.494,compass,-63.334,-0.0,-45.717,-0.906,0.112,-10.22,2.309,2.4047102718645923,-53.15,346.358,0.103,23759.049,False,0.0717864432186206,0.06179077261111498,0.4,-0.012,-0.277,-9.879,0.01,346.358,169.078,True,0,1,0,0
-1.462,0.112,-1.493,compass,-63.334,-0.112,-47.232,-0.897,0.112,-10.22,2.309,2.416030052701368,-53.192,346.316,0.103,23759.149,False,0.06979860116491307,0.061730727095399195,0.4,-0.012,-0.277,-9.879,0.01,346.316,169.078,True,0,1,0,0
-1.456,0.112,-1.492,compass,-63.273,-0.0,-48.97,-0.889,0.112,-10.22,2.11,2.374989978407644,-53.227,346.281,0.062,23759.249,False,0.040734783225091845,0.03724049785151605,0.4,-0.012,-0.277,-9.879,0.009,346.281,169.078,True,0,1,0,0
-1.443,0.112,-1.49,compass,-63.273,-0.224,-50.652,-0.88,0.112,-10.22,2.11,2.342691510398169,-53.263,346.245,0.062,23759.349,False,0.039337029723615496,0.037209525649002276,0.4,-0.012,-0.316,-9.875,0.009,346.245,169.078,True,0,1,0,0
-1.444,0.112,-1.489,compass,-0.0,-0.112,-45.437,-0.872,0.0,-10.22,0.0,1.8495883223134557,-53.297,346.211,0.047,23759.45,False,0.03266597749314552,0.027884562031780573,0.4,-0.012,-0.316,-9.875,0.008,346.211,169.078,True,0,1,0,0
-1.438,0.224,-1.487,compass,-26.57,-0.112,-42.394,-0.864,0.112,-10.22,0.0,1.4813263592790706,-53.319,346.189,0.047,23759.55,False,0.034393941342732756,0.027870435264457604,0.4,-0.012,-0.316,-9.875,0.008,346.189,169.078,True,0,1,0,0
-1.424,0.0,-1.485,compass,-90.0,-0.0,-40.215,-0.862,0.112,-10.22,0.0,1.175996252900662,-53.34,346.168,0.041,23759.65,False,0.031125796708672396,0.024374633856409665,0.4,-0.012,-0.355,-9.914,0.008,346.168,169.078,True,0,1,0,0
-1.417,-0.112,-1.483,compass,-180.0,-0.0,-42.447,-0.861,0.0,-10.24,0.0,0.9350747468208118,-53.354,346.154,0.041,23759.75,False,0.030079475047099454,0.02436665016365216,0.4,-0.012,-0.316,-9.914,0.001,346.154,169.078,True,0,1,0,0
-1.403,-0.112,-1.481,compass,134.995,-0.0,-39.036,-0.859,-0.112,-10.24,0.0,0.7525453520272702,-53.369,346.139,0.021,23759.85,False,0.016590189943854763,0.012759023222931232,0.4,-0.012,-0.355,-9.914,0.001,346.139,169.078,True,0,1,0,0
